index,rank,added_at,title,artist,isrc,velocity,cm_id,time_on_chart,release_dates,cm_artist_id,Before_Tiktok_Date,total_spotify_followers,track_age
60,61,2021-03-09,pota pota by HERA,Aya Nakamura,FRZ041800793,,20438195.0,62,"['2018-08-24T00:00:00.000Z', '2018-09-24T00:00:00.000Z', '2018-11-02T00:00:00.000Z', '2018-11-02T00:00:00.000Z', '2019-10-25T00:00:00.000Z', '2019-05-24T00:00:00.000Z', '2019-10-25T00:00:00.000Z', '2019-10-25T00:00:00.000Z', '2019-10-25T00:00:00.000Z']",480386,2020-12-30,2383754.0,over 2 months
61,62,2021-03-09,Put Your Records On,Ritt Momney,QZDA82017347,,29186474.0,108,['2020-04-24T00:00:00.000Z'],531390,2020-11-14,62146.0,over 2 months
62,63,2021-03-09,Way Back Home,SHAUN,KRF221800012,,20105880.0,37,['2018-06-27T00:00:00.000Z'],812869,2021-01-24,217091.0,2 months
64,65,2021-03-09,Pooranviram,Akki Aryan,INT502001067,,28777361.0,105,['2020-02-03T00:00:00.000Z'],3816516,2020-11-17,,over 2 months
65,66,2021-03-09,Look At Me!,XXXTENTACION,USUYG1131080,,15969949.0,217,['2017-02-20T00:00:00.000Z'],74419,2020-07-28,20835982.0,over 2 months
66,67,2021-03-09,Classical Music,Classical Music,TCAAU1178628,1.42857142857143,20877140.0,301,['2011-02-03T00:00:00.000Z'],141006,2020-05-05,174.0,over 2 months
67,68,2021-03-09,Surrender,Natalie Taylor,TCACJ1544888,1.42857142857143,14341447.0,245,['2015-10-29T00:00:00.000Z'],164355,2020-06-30,46419.0,over 2 months
68,69,2021-03-09,Dynamite,BTS,QM7282022872,,31077815.0,125,"['2020-08-21T00:00:00.000Z', '2020-08-21T00:00:00.000Z', '2020-08-24T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z']",206557,2020-10-28,24199785.0,over 2 months
69,70,2021-03-09,Ратата,Konfuz,QM4TW2128488,-2.0,32684745.0,9,['2021-01-29T00:00:00.000Z'],25573,2021-02-21,50567.0,a month
70,71,2021-03-09,Stranger,Chace,USA2P1660778,,14806992.0,212,['2016-07-01T00:00:00.000Z'],429307,2020-08-02,,over 2 months
